"","CoreNumber","Flaking.condition","Raw_material","Completeness","ReboundForce","Mass","MaxLength","TechLength","MaxWidth","MaxThickness","MarksVentralSurface","PlatformMorphology"
"1","1","bipolar","Quartz","Complete","No",0.38,15.82,15.76,7.99,2.48,"Crushing","Crushed"
"2","1","bipolar","Quartz","Complete","Yes",0.28,9.99,8.87,9.66,2.73,"ShearedBulb","Crushed"
"3","1","bipolar","Quartz","Complete","Yes",0.32,15.8,12.98,11.08,2.31,"Crushing","Crushed"
"4","1","bipolar","Quartz","Complete","Yes",1.38,17.53,17.48,14.14,6.09,"ShearedBulb","Crushed"
"5","1","bipolar","Quartz","Complete","Yes",1.55,22.9,22.89,18.74,4.02,"Crushing","Crushed"
"6","1","bipolar","Quartz","Complete","Yes",1.9,25.2,25.19,18.92,4.33,"Crushing","Crushed"
"7","1","bipolar","Quartz","Fragment","Yes",1.62,NA,NA,NA,0,NA,""
"8","1","bipolar","Quartz","Fragment","No",0.09,NA,NA,NA,0,NA,""
"9","1","bipolar","Quartz","Fragment","No",0.24,NA,NA,NA,0,NA,""
"10","1","bipolar","Quartz","Fragment","No",0.32,NA,NA,NA,0,NA,""
"11","1","bipolar","Quartz","Fragment","No",0.35,NA,NA,NA,0,NA,""
"12","1","bipolar","Quartz","Fragment","No",0.14,NA,NA,NA,0,NA,""
"13","1","bipolar","Quartz","Fragment","No",0.17,NA,NA,NA,0,NA,""
"14","1","bipolar","Quartz","Fragment","No",1.1,NA,NA,NA,0,NA,""
"15","1","bipolar","Quartz","Fragment","Yes",0.16,NA,NA,NA,1.99,"Crushing","Crushed"
"16","1","bipolar","Quartz","Fragment","No",0.35,NA,NA,NA,3.26,"Crushing","Crushed"
"17","1","bipolar","Quartz","Fragment","Yes",0.13,NA,NA,NA,1.79,"Crushing","Crushed"
"18","1","bipolar","Quartz","Fragment","Yes",0.27,NA,NA,NA,2.1,"Crushing","Crushed"
"19","1","bipolar","Quartz","Fragment","Yes",0.32,NA,NA,NA,2.17,"ShearedBulb","Crushed"
"20","1","bipolar","Quartz","Fragment","Yes",0.39,NA,NA,NA,2.16,"Crushing","Crushed"
"21","1","freehand","Quartz","Fragment","No",0.82,10.85,NA,12.91,7.05,NA,""
"22","1","freehand","Quartz","Complete","No",NA,12.87,11.96,9.38,2.59,"Crushing","Crushed"
"23","1","freehand","Quartz","Complete","No",0.14,10.8,10.79,5.21,2.18,"Other","Shaped"
"24","1","freehand","Quartz","Complete","No",7.35,27.06,27.1,25.61,9.74,"Other","Shaped"
"25","1","freehand","Quartz","Complete","No",14.03,39.21,37.77,24.96,10.07,"Other","Shaped"
"26","1","freehand","Quartz","Complete","Yes",1.97,21.39,21.38,13.54,6.52,"ShearedBulb","Shaped"
"27","1","freehand","Quartz","Fragment","No",0.23,NA,NA,NA,0,NA,""
"28","1","freehand","Quartz","Fragment","No",0.24,NA,NA,NA,0,NA,""
"29","1","freehand","Quartz","Fragment","No",0.45,NA,NA,NA,0,NA,""
"30","1","freehand","Quartz","Fragment","No",0.13,NA,NA,NA,0,NA,""
"31","1","freehand","Quartz","Fragment","No",0.2,NA,NA,NA,0,NA,""
"32","1","freehand","Quartz","Fragment","No",0.28,NA,NA,NA,0,NA,""
"33","1","freehand","Quartz","Fragment","No",0.38,NA,NA,NA,0,NA,""
"34","1","freehand","Quartz","Fragment","No",0.69,NA,NA,NA,0,NA,""
"35","1","freehand","Quartz","Fragment","No",0.79,NA,NA,NA,0,NA,""
"36","1","freehand","Quartz","Fragment","No",0.79,NA,NA,NA,0,NA,""
"37","1","freehand","Quartz","Fragment","No",0.23,NA,NA,NA,0,NA,""
"38","1","freehand","Quartz","Fragment","No",0.82,NA,NA,NA,0,NA,""
"39","1","freehand","Quartz","Fragment","No",0.56,NA,NA,NA,5.42,"Other","Shaped"
"40","1","freehand","Quartz","Fragment","No",0.81,NA,NA,NA,3.61,"Other","Shaped"
"41","10","bipolar","Quartz","Complete","No",0.28,10.58,9.55,8.19,3.48,"ShearedBulb","Crushed"
"42","10","bipolar","Quartz","Fragment","No",0.09,NA,NA,NA,0,NA,""
"43","10","bipolar","Quartz","Fragment","No",0.13,NA,NA,NA,0,NA,""
"44","10","bipolar","Quartz","Fragment","Yes",0.26,NA,NA,NA,3.28,"ShearedBulb","Crushed"
"45","10","freehand","Quartz","Fragment","No",1.54,1,NA,13.97,8.31,NA,""
"46","10","freehand","Quartz","Complete","No",0.59,19.73,11.15,19.1,2.69,"Other","Shaped"
"47","10","freehand","Quartz","Complete","No",0.99,19.46,19.45,11.29,3.74,"Crushing","Shaped"
"48","10","freehand","Quartz","Complete","No",1.68,18.79,18.79,13.52,5.76,"Crushing","Shaped"
"49","10","freehand","Quartz","Complete","No",1.89,22.85,22.85,14.6,6.93,"Other","Shaped"
"50","10","freehand","Quartz","Complete","No",1.99,22.88,22.88,15.37,5.24,"Crushing","Shaped"
"51","10","freehand","Quartz","Complete","No",5.75,27.59,27.57,18.44,10.49,"Other","Shaped"
"52","10","freehand","Quartz","Complete","Yes",1.96,28.88,24.72,14.21,4.86,"Other","Shaped"
"53","10","freehand","Quartz","Fragment","No",0.89,NA,NA,NA,0,NA,""
"54","10","freehand","Quartz","Fragment","No",1.07,NA,NA,NA,0,NA,""
"55","10","freehand","Quartz","Fragment","No",0.18,NA,NA,NA,0,NA,""
"56","10","freehand","Quartz","Fragment","No",0.21,NA,NA,NA,0,NA,""
"57","10","freehand","Quartz","Fragment","No",0.25,NA,NA,NA,0,NA,""
"58","10","freehand","Quartz","Fragment","No",0.25,NA,NA,NA,0,NA,""
"59","10","freehand","Quartz","Fragment","No",0.33,NA,NA,NA,0,NA,""
"60","10","freehand","Quartz","Fragment","No",0.2,NA,NA,NA,3.28,"Other","Shaped"
"61","10","freehand","Quartz","Fragment","No",0.31,NA,NA,NA,4.04,"Other","Shaped"
"62","10","freehand","Quartz","Fragment","No",0.65,NA,NA,NA,3.25,"Other","Shaped"
"63","10","freehand","Quartz","Fragment","No",2.56,NA,NA,NA,6.74,"Other","Shaped"
"64","10","freehand","Quartz","Fragment","No",5.39,NA,NA,NA,13.72,"Other","Shaped"
"65","11","bipolar","Quartz","Complete","No",0.16,10.16,8.55,10.71,1.39,"Crushing","Crushed"
"66","11","bipolar","Quartz","Complete","No",0.21,13.32,13.27,5.86,2.74,"Crushing","Crushed"
"67","11","bipolar","Quartz","Complete","Yes",0.08,11.3,11.31,4.16,1.54,"Crushing","Crushed"
"68","11","bipolar","Quartz","Complete","Yes",0.14,10.75,10.74,3.33,4.2,"ShearedBulb","Crushed"
"69","11","bipolar","Quartz","Complete","Yes",0.27,12.28,12.28,7.71,2.61,"ShearedBulb","Crushed"
"70","11","bipolar","Quartz","Complete","Yes",2.32,30.96,30.94,26.45,3.56,"Crushing","Crushed"
"71","11","bipolar","Quartz","Fragment","No",2,23.06,19.63,NA,4.78,"Crushing","Crushed"
"72","11","bipolar","Quartz","Fragment","No",0.1,NA,NA,NA,0,NA,""
"73","11","bipolar","Quartz","Fragment","No",1.78,NA,NA,NA,0,NA,""
"74","11","bipolar","Quartz","Fragment","No",0.09,NA,NA,NA,0,NA,""
"75","11","bipolar","Quartz","Fragment","No",0.59,NA,NA,NA,3.73,"ShearedBulb","Crushed"
"76","11","bipolar","Quartz","Fragment","No",2.05,NA,NA,NA,5.64,"Crushing","Crushed"
"77","11","bipolar","Quartz","Fragment","No",2.05,NA,NA,NA,6.89,"Crushing","Crushed"
"78","11","bipolar","Quartz","Fragment","Yes",0.16,NA,NA,NA,1.41,"Crushing","Crushed"
"79","11","bipolar","Quartz","Fragment","Yes",0.17,NA,NA,NA,1.82,"ShearedBulb","Crushed"
"80","11","bipolar","Quartz","Fragment","Yes",0.68,NA,NA,NA,4.37,"Crushing","Crushed"
"81","11","bipolar","Quartz","Fragment","Yes",0.69,NA,NA,NA,5.12,"Crushing","Shaped"
"82","11","bipolar","Quartz","Fragment","Yes",1.12,NA,NA,NA,5.6,"ShearedBulb","Crushed"
"83","11","bipolar","Quartz","Fragment","Yes",1.22,NA,NA,NA,4.3,"ShearedBulb","Crushed"
"84","11","bipolar","Quartz","Fragment","Yes",1.07,NA,NA,NA,4.16,"ShearedBulb","Crushed"
"85","11","freehand","Quartz","Fragment","",0.48,11.71,NA,7.61,5.36,NA,""
"86","11","freehand","Quartz","Complete","",0.26,18.77,19.52,7.68,1.95,"Other","Shaped"
"87","11","freehand","Quartz","Complete","",0.42,19.29,15.7,8.61,2.33,"Other","Shaped"
"88","11","freehand","Quartz","Complete","",0.77,17.4,18.67,10.62,4.95,"Crushing","Shaped"
"89","11","freehand","Quartz","Complete","",3.11,25.36,13.54,22.85,6.6,"Other","Shaped"
"90","11","freehand","Quartz","Complete","",3.64,22.71,16.32,31.82,6.03,"Other","Shaped"
"91","11","freehand","Quartz","Complete","",4.96,24.09,20.62,33.78,7.97,"Other","Shaped"
"92","11","freehand","Quartz","Complete","",5.22,20.23,20.23,16.56,13.13,"Other","Shaped"
"93","11","freehand","Quartz","Complete","",6.72,26.39,17.97,40.26,9.54,"Other","Shaped"
"94","11","freehand","Quartz","Fragment","",0.32,NA,NA,NA,0,NA,""
"95","11","freehand","Quartz","Fragment","",0.96,NA,NA,NA,0,NA,""
"96","11","freehand","Quartz","Fragment","",1.2,NA,NA,NA,0,NA,""
"97","11","freehand","Quartz","Fragment","",0.92,NA,NA,NA,0,NA,""
"98","11","freehand","Quartz","Fragment","",1.78,NA,NA,NA,0,NA,""
"99","11","freehand","Quartz","Fragment","",0.14,NA,NA,NA,0,NA,""
"100","11","freehand","Quartz","Fragment","",0.21,NA,NA,NA,0,NA,""
"101","11","freehand","Quartz","Fragment","",0.54,NA,NA,NA,3.18,"Other","Shaped"
"102","11","freehand","Quartz","Fragment","",0.56,NA,NA,NA,2.67,"Other","Shaped"
"103","11","freehand","Quartz","Fragment","",1.33,NA,NA,NA,5.33,"Other","Shaped"
"104","11","freehand","Quartz","Fragment","",0.66,NA,NA,NA,6.51,"Crushing","Crushed"
"105","12","bipolar","Quartz","Complete","No",0.52,11.5,10.57,13.65,3.43,"Crushing","Crushed"
"106","12","bipolar","Quartz","Complete","No",1.29,23.23,23.21,13.58,4.39,"Other","Crushed"
"107","12","bipolar","Quartz","Complete","Yes",0.1,12.14,12.12,6.24,1.66,"Crushing","Crushed"
"108","12","bipolar","Quartz","Complete","Yes",0.14,9.01,10.21,3.97,3.92,"ShearedBulb","Crushed"
"109","12","bipolar","Quartz","Complete","Yes",0.26,10.41,10.39,7.54,3.68,"ShearedBulb","Crushed"
"110","12","bipolar","Quartz","Complete","Yes",0.87,15.15,15.14,8.23,6.46,"ShearedBulb","Crushed"
"111","12","bipolar","Quartz","Complete","Yes",0.96,19.21,19.2,10.31,4.31,"ShearedBulb","Shaped"
"112","12","bipolar","Quartz","Complete","Yes",4.09,30.33,30.32,21.41,8.15,"Crushing","Crushed"
"113","12","bipolar","Quartz","Fragment","No",0.27,NA,NA,NA,0,NA,""
"114","12","bipolar","Quartz","Fragment","Yes",0.62,NA,NA,NA,0,NA,""
"115","12","bipolar","Quartz","Fragment","No",0.14,NA,NA,NA,0,NA,""
"116","12","bipolar","Quartz","Fragment","No",0.15,NA,NA,NA,0,NA,""
"117","12","bipolar","Quartz","Fragment","No",0.2,NA,NA,NA,0,NA,""
"118","12","bipolar","Quartz","Fragment","No",0.2,NA,NA,NA,0,NA,""
"119","12","bipolar","Quartz","Fragment","No",0.21,NA,NA,NA,0,NA,""
"120","12","bipolar","Quartz","Fragment","No",0.2,NA,NA,NA,0,NA,""
"121","12","bipolar","Quartz","Fragment","No",0.53,NA,NA,NA,0,NA,""
"122","12","bipolar","Quartz","Fragment","No",0.12,NA,NA,NA,2.24,"ShearedBulb","Crushed"
"123","12","bipolar","Quartz","Fragment","No",0.22,NA,NA,NA,4.88,"ShearedBulb","Crushed"
"124","12","bipolar","Quartz","Fragment","Yes",6.36,NA,NA,NA,14.91,"Crushing","Crushed"
"125","12","freehand","Quartz","Complete","",0.2,10.31,10.16,8.26,2.72,"Other","Shaped"
"126","12","freehand","Quartz","Complete","",0.35,12.89,13.07,8.05,3.12,"Other","Shaped"
"127","12","freehand","Quartz","Complete","",0.44,19.32,19.29,10.48,2.87,"Other","Shaped"
"128","12","freehand","Quartz","Complete","",0.79,11.58,11.61,12.62,4.63,"Other","Shaped"
"129","12","freehand","Quartz","Complete","",1.39,20.17,20.15,12.07,6.44,"Other","Shaped"
"130","12","freehand","Quartz","Complete","",2.96,26.17,14.21,11.98,7.18,"Crushing","Shaped"
"131","12","freehand","Quartz","Fragment","",1.58,NA,NA,NA,0,NA,""
"132","12","freehand","Quartz","Fragment","",1.53,NA,NA,NA,0,NA,""
"133","12","freehand","Quartz","Fragment","",0.1,NA,NA,NA,0,NA,""
"134","12","freehand","Quartz","Fragment","",0.22,NA,NA,NA,0,NA,""
"135","12","freehand","Quartz","Fragment","",0.18,NA,NA,NA,1.13,"Crushing","Shaped"
"136","12","freehand","Quartz","Fragment","",0.2,NA,NA,NA,1.48,"Other","Shaped"
"137","12","freehand","Quartz","Fragment","",0.2,NA,NA,NA,2.02,"Other","Shaped"
"138","12","freehand","Quartz","Fragment","",0.3,NA,NA,NA,2.62,"Other","Shaped"
"139","12","freehand","Quartz","Fragment","",0.32,NA,NA,NA,1.98,"Other","Shaped"
"140","12","freehand","Quartz","Fragment","",0.45,NA,NA,NA,2.75,"Other","Shaped"
"141","12","freehand","Quartz","Fragment","",0.94,NA,NA,NA,6.46,"Other","Shaped"
"142","12","freehand","Quartz","Fragment","No",2.45,NA,NA,NA,8.29,"Crushing","Crushed"
"143","12","freehand","Quartz","Fragment","Yes",2.77,NA,NA,NA,7.34,"Crushing","Crushed"
"144","12","freehand","Quartz","Complete","",1.77,18.01,18,17.55,6.66,"Other","Shaped"
"145","13","bipolar","Quartz","Complete","No",0.6,18.51,16.79,11.55,3.51,"Crushing","Crushed"
"146","13","bipolar","Quartz","Complete","No",0.77,0.23,13.44,13.43,6.72,"Crushing","Crushed"
"147","13","bipolar","Quartz","Complete","Yes",0.41,19.35,19.26,6,3.01,"ShearedBulb","Crushed"
"148","13","bipolar","Quartz","Complete","Yes",1.58,21.6,17.74,20.42,6.24,"ShearedBulb","Shaped"
"149","13","bipolar","Quartz","Complete","Yes",1.76,29.22,29.21,14.87,6.34,"Crushing","Crushed"
"150","13","bipolar","Quartz","Complete","Yes",2.68,26.8,26.78,13.41,9.01,"Crushing","Crushed"
"151","13","bipolar","Quartz","Complete","Yes",4.52,31.52,31.52,18.92,10.79,"Other","Shaped"
"152","13","bipolar","Quartz","Complete","Yes",4.58,26.3,26.29,21.96,9.22,"Crushing","Shaped"
"153","13","bipolar","Quartz","Complete","Yes",8.31,36.57,36.57,21.3,10.28,"Crushing","Crushed"
"154","13","bipolar","Quartz","Fragment","No",0.07,NA,NA,NA,0,NA,""
"155","13","bipolar","Quartz","Fragment","No",0.16,NA,NA,NA,0,NA,""
"156","13","bipolar","Quartz","Fragment","Yes",0.31,NA,NA,NA,0,NA,""
"157","13","bipolar","Quartz","Fragment","No",0.23,NA,NA,NA,0,NA,""
"158","13","bipolar","Quartz","Fragment","No",0.37,NA,NA,NA,0,NA,""
"159","13","bipolar","Quartz","Fragment","Yes",0.41,NA,NA,NA,0,NA,""
"160","13","bipolar","Quartz","Fragment","No",0.43,NA,NA,NA,4.14,"ShearedBulb","Crushed"
"161","13","freehand","Quartz","Fragment","",0.58,11.8,NA,8.3,5.41,NA,""
"162","13","freehand","Quartz","Fragment","",6.87,25.1,NA,21.09,13.86,NA,""
"163","13","freehand","Quartz","Fragment","",14.09,31.23,NA,27.47,23.9,NA,""
"164","13","freehand","Quartz","Complete","",0.33,13.49,13.48,7.68,3.89,"Other","Shaped"
"165","13","freehand","Quartz","Complete","",0.53,13.04,13.03,12.57,2.7,"Other","Shaped"
"166","13","freehand","Quartz","Complete","",0.54,14.05,14.04,8.88,6.54,"Other","Shaped"
"167","13","freehand","Quartz","Complete","",1.83,28.45,28.44,15.15,4.19,"Other","Shaped"
"168","13","freehand","Quartz","Complete","",4.87,33.69,34.58,30.19,7.23,"ShearedBulb","Shaped"
"169","13","freehand","Quartz","Fragment","",0.19,NA,NA,NA,0,NA,""
"170","13","freehand","Quartz","Fragment","",0.32,NA,NA,NA,0,NA,""
"171","13","freehand","Quartz","Fragment","",0.63,NA,NA,NA,0,NA,""
"172","13","freehand","Quartz","Fragment","",1.26,NA,NA,NA,0,NA,""
"173","13","freehand","Quartz","Fragment","",3.33,NA,NA,NA,0,NA,""
"174","13","freehand","Quartz","Fragment","",0.19,NA,NA,NA,0,NA,""
"175","13","freehand","Quartz","Fragment","",0.21,NA,NA,NA,0,NA,""
"176","13","freehand","Quartz","Fragment","",0.22,NA,NA,NA,0,NA,""
"177","13","freehand","Quartz","Fragment","",0.66,NA,NA,NA,0,NA,""
"178","13","freehand","Quartz","Fragment","",1.82,NA,NA,NA,0,NA,""
"179","13","freehand","Quartz","Fragment","",1.98,NA,NA,NA,5.28,"Other","Shaped"
"180","13","freehand","Quartz","Fragment","",4.73,NA,NA,NA,8.63,"Crushing","Shaped"
"181","14","bipolar","Quartz","Complete","No",0.11,12.13,12.09,5.75,1.52,"Crushing","Crushed"
"182","14","bipolar","Quartz","Complete","No",0.8,15.38,10.92,17.78,5.6,"Crushing","Crushed"
"183","14","bipolar","Quartz","Complete","No",1.01,21.07,17.24,13.24,4.07,"Other","Crushed"
"184","14","bipolar","Quartz","Complete","Yes",0.21,12.58,12.58,5.39,2.69,"ShearedBulb","Crushed"
"185","14","bipolar","Quartz","Complete","Yes",0.56,16.37,15.85,11.78,2.57,"ShearedBulb","Crushed"
"186","14","bipolar","Quartz","Complete","Yes",2.52,21.46,18.34,21.28,7.03,"Crushing","Crushed"
"187","14","bipolar","Quartz","Complete","Yes",3.56,27.71,27.71,17.83,6.43,"Crushing","Crushed"
"188","14","bipolar","Quartz","Complete","Yes",3.86,27.8,24.97,19.04,7.91,"ShearedBulb","Crushed"
"189","14","bipolar","Quartz","Complete","Yes",4.34,28.03,28.02,23.87,6.01,"Crushing","Crushed"
"190","14","bipolar","Quartz","Fragment","No",0.15,NA,NA,NA,0,NA,""
"191","14","bipolar","Quartz","Fragment","No",0.24,NA,NA,NA,0,NA,""
"192","14","bipolar","Quartz","Fragment","No",0.35,NA,NA,NA,0,NA,""
"193","14","bipolar","Quartz","Fragment","No",0.21,NA,NA,NA,0,NA,""
"194","14","bipolar","Quartz","Fragment","No",0.21,NA,NA,NA,0,NA,""
"195","14","bipolar","Quartz","Fragment","No",0.62,NA,NA,NA,0,NA,""
"196","14","bipolar","Quartz","Fragment","Yes",0.47,NA,NA,NA,0,NA,""
"197","14","bipolar","Quartz","Fragment","No",0.25,NA,NA,NA,1.87,"Crushing","Crushed"
"198","14","bipolar","Quartz","Fragment","No",1.94,NA,NA,NA,5.68,"Crushing","Shaped"
"199","14","bipolar","Quartz","Fragment","No",2.26,NA,NA,NA,9.75,"ShearedBulb","Crushed"
"200","14","bipolar","Quartz","Fragment","No",0.65,NA,NA,NA,3.86,"Other","Crushed"
"201","14","freehand","Quartz","Complete","No",0.19,15.31,15.11,5.56,2.12,"Other","Shaped"
"202","14","freehand","Quartz","Complete","No",0.27,11.17,8.88,11.18,2.86,"Other","Shaped"
"203","14","freehand","Quartz","Complete","No",0.36,11.27,11.27,6.95,4.41,"Other","Shaped"
"204","14","freehand","Quartz","Complete","No",0.38,11.71,11.71,10.82,3.77,"Other","Shaped"
"205","14","freehand","Quartz","Complete","No",0.73,11.56,11.32,11.98,5.04,"Other","Shaped"
"206","14","freehand","Quartz","Complete","No",5.85,28.54,28.54,20.92,11.89,"Crushing","Shaped"
"207","14","freehand","Quartz","Fragment","No",0.45,NA,NA,NA,0,NA,""
"208","14","freehand","Quartz","Fragment","No",0.54,NA,NA,NA,0,NA,""
"209","14","freehand","Quartz","Fragment","No",0.69,NA,NA,NA,0,NA,""
"210","14","freehand","Quartz","Fragment","No",0.19,NA,NA,NA,0,NA,""
"211","14","freehand","Quartz","Fragment","No",0.28,NA,NA,NA,0,NA,""
"212","14","freehand","Quartz","Fragment","No",0.26,NA,NA,NA,0,NA,""
"213","14","freehand","Quartz","Fragment","No",0.31,NA,NA,NA,0,NA,""
"214","14","freehand","Quartz","Fragment","No",0.12,NA,NA,NA,1.91,"Other","Shaped"
"215","14","freehand","Quartz","Fragment","No",0.34,NA,NA,NA,3.43,"Other","Shaped"
"216","14","freehand","Quartz","Fragment","No",0.48,NA,NA,NA,4.05,"Other","Shaped"
"217","14","freehand","Quartz","Fragment","No",1.98,NA,NA,NA,5.51,"Other","Shaped"
"218","14","freehand","Quartz","Fragment","No",0.33,NA,NA,NA,4.61,"Other","Shaped"
"219","14","freehand","Quartz","Fragment","No",0.63,NA,NA,NA,4.71,"Crushing","Shaped"
"220","14","freehand","Quartz","Fragment","No",1.15,NA,NA,NA,5.13,"Other","Shaped"
"221","15","bipolar","Quartz","Fragment","No",2.36,26.98,NA,8.23,9.09,NA,""
"222","15","bipolar","Quartz","Complete","No",0.24,NA,15.92,6.84,2.52,"ShearedBulb","Crushed"
"223","15","bipolar","Quartz","Complete","No",0.42,12.92,12.8,9.16,4.54,"Crushing","Crushed"
"224","15","bipolar","Quartz","Complete","No",1.74,23.44,23.42,17.43,4.6,"Crushing","Crushed"
"225","15","bipolar","Quartz","Complete","Yes",0.11,9.75,9.72,4.96,2.3,"ShearedBulb","Crushed"
"226","15","bipolar","Quartz","Complete","Yes",0.19,15.66,15.65,4.7,2.51,"ShearedBulb","Crushed"
"227","15","bipolar","Quartz","Complete","Yes",0.24,12.1,12.08,6.27,3.83,"Crushing","Shaped"
"228","15","bipolar","Quartz","Complete","Yes",0.74,14.24,14.24,8.35,4.83,"ShearedBulb","Crushed"
"229","15","bipolar","Quartz","Complete","Yes",1.31,15.65,15.65,16.72,7.45,"ShearedBulb","Crushed"
"230","15","bipolar","Quartz","Complete","Yes",2.46,21.47,21.46,10.66,12.04,"ShearedBulb","Crushed"
"231","15","bipolar","Quartz","Complete","Yes",3.8,28.23,28.21,16.07,8.15,"Crushing","Crushed"
"232","15","bipolar","Quartz","Complete","Yes",3.85,29.03,27.8,16.31,10.77,"Crushing","Crushed"
"233","15","bipolar","Quartz","Fragment","No",0.06,NA,NA,NA,0,NA,""
"234","15","bipolar","Quartz","Fragment","No",0.56,NA,NA,NA,0,NA,""
"235","15","bipolar","Quartz","Fragment","No",0.28,NA,NA,NA,0,NA,""
"236","15","bipolar","Quartz","Fragment","No",0.82,NA,NA,NA,0,NA,""
"237","15","bipolar","Quartz","Fragment","No",0.06,NA,NA,NA,1.04,"ShearedBulb","Crushed"
"238","15","bipolar","Quartz","Fragment","No",0.53,NA,NA,NA,5.44,"Crushing","Crushed"
"239","15","bipolar","Quartz","Fragment","Yes",0.23,NA,NA,NA,3.04,"Crushing","Crushed"
"240","15","bipolar","Quartz","Fragment","Yes",0.33,NA,NA,NA,3.55,"Crushing","Crushed"
"241","15","freehand","Quartz","Fragment","No",0.5,10.39,NA,7.53,5.68,NA,""
"242","15","freehand","Quartz","Fragment","No",1.02,16.82,NA,6.68,6.87,NA,""
"243","15","freehand","Quartz","Fragment","No",15.68,31.82,NA,31.57,17.53,NA,""
"244","15","freehand","Quartz","Complete","No",0.25,11.19,10.3,6.53,3.86,"Other","Shaped"
"245","15","freehand","Quartz","Complete","No",0.31,13.3,11.33,15.49,2.37,"Other","Shaped"
"246","15","freehand","Quartz","Complete","No",0.44,14.06,13.71,11.51,2.85,"Other","Shaped"
"247","15","freehand","Quartz","Complete","No",1,11.91,11.88,9.07,5.58,"Other","Shaped"
"248","15","freehand","Quartz","Complete","Yes",0.55,10.42,10.06,9.65,5.63,"Crushing","Shaped"
"249","15","freehand","Quartz","Fragment","No",0.21,NA,NA,NA,0,NA,""
"250","15","freehand","Quartz","Fragment","No",0.29,NA,NA,NA,0,NA,""
"251","15","freehand","Quartz","Fragment","No",0.39,NA,NA,NA,0,NA,""
"252","15","freehand","Quartz","Fragment","No",0.42,NA,NA,NA,0,NA,""
"253","15","freehand","Quartz","Fragment","No",0.3,NA,NA,NA,0,NA,""
"254","15","freehand","Quartz","Fragment","No",0.43,NA,NA,NA,0,NA,""
"255","15","freehand","Quartz","Fragment","No",1.07,NA,NA,NA,0,NA,""
"256","15","freehand","Quartz","Fragment","No",0.52,NA,NA,NA,3.28,"Other","Shaped"
"257","15","freehand","Quartz","Fragment","No",2.84,NA,NA,NA,7.26,"Other","Crushed"
"258","15","freehand","Quartz","Fragment","Yes",7.94,NA,NA,NA,35.04,"Crushing","Crushed"
"259","15","freehand","Quartz","Fragment","No",0.3,NA,NA,NA,4.72,"Other","Shaped"
"260","15","freehand","Quartz","Fragment","Yes",4.32,NA,NA,NA,9.09,"Other","Shaped"
"261","16","freehand","Quartz","Complete","",0.13,8.33,8.29,9.65,1.47,"Other","Shaped"
"262","16","freehand","Quartz","Complete","",0.21,14.34,11.58,13.85,2.1,"Other","Shaped"
"263","16","freehand","Quartz","Complete","",0.27,11.71,11.71,15.06,2.53,"Other","Shaped"
"264","16","freehand","Quartz","Complete","",0.53,13.01,12.98,8.46,4.51,"ShearedBulb","Crushed"
"265","16","freehand","Quartz","Complete","",2.6,23.84,19.15,25.57,6.15,"Other","Shaped"
"266","16","freehand","Quartz","Fragment","",0.19,NA,NA,NA,0,NA,""
"267","16","freehand","Quartz","Fragment","",0.21,NA,NA,NA,0,NA,""
"268","16","freehand","Quartz","Fragment","",0.22,NA,NA,NA,0,NA,""
"269","16","freehand","Quartz","Fragment","",0.23,NA,NA,NA,0,NA,""
"270","16","freehand","Quartz","Fragment","",0.44,NA,NA,NA,0,NA,""
"271","16","freehand","Quartz","Fragment","",0.91,NA,NA,NA,0,NA,""
"272","16","freehand","Quartz","Fragment","",1.26,NA,NA,NA,0,NA,""
"273","16","freehand","Quartz","Fragment","",0.15,NA,NA,NA,0,NA,""
"274","16","freehand","Quartz","Fragment","",0.3,NA,NA,NA,0,NA,""
"275","16","freehand","Quartz","Fragment","",0.71,NA,NA,NA,0,NA,""
"276","16","freehand","Quartz","Fragment","",0.26,NA,NA,NA,2.1,"Other","Shaped"
"277","16","freehand","Quartz","Fragment","",0.29,NA,NA,NA,3.05,"Other","Shaped"
"278","16","freehand","Quartz","Fragment","",1.03,NA,NA,NA,3.83,"Crushing","Shaped"
"279","16","freehand","Quartz","Fragment","Yes",0.52,NA,NA,NA,4.25,"Crushing","Crushed"
"280","16","freehand","Quartz","Fragment","",0.3,NA,NA,NA,2.77,"Other","Shaped"
"281","17","freehand","Quartz","Complete","",0.41,12.81,12.8,7.08,3.44,"Other","Shaped"
"282","17","freehand","Quartz","Complete","",1.58,23.99,23.98,10.29,7.18,"Other","Shaped"
"283","17","freehand","Quartz","Fragment","",0.67,NA,NA,NA,0,NA,""
"284","17","freehand","Quartz","Fragment","",2.52,NA,NA,NA,0,NA,""
"285","17","freehand","Quartz","Fragment","No",0.45,NA,NA,NA,0,NA,""
"286","17","freehand","Quartz","Fragment","",0.26,NA,NA,NA,0,NA,""
"287","17","freehand","Quartz","Fragment","",0.31,NA,NA,NA,0,NA,""
"288","17","freehand","Quartz","Fragment","",0.39,NA,NA,NA,0,NA,""
"289","17","freehand","Quartz","Fragment","",0.39,NA,NA,NA,0,NA,""
"290","17","freehand","Quartz","Fragment","",0.57,NA,NA,NA,0,NA,""
"291","17","freehand","Quartz","Fragment","",0.62,NA,NA,NA,0,NA,""
"292","17","freehand","Quartz","Fragment","",0.63,NA,NA,NA,0,NA,""
"293","17","freehand","Quartz","Fragment","",0.08,NA,NA,NA,0,NA,""
